team,jersey,player,total_offers,offers_in_front,offers_in_between,offers_out_to_in,offers_in_to_out,offers_in_behind,no_movement,offers_received,match_num,group,date,home,away,home_score,away_score
Canada,16,Maxime CREPEAU,2,0,0,0,0,0,2,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,14,Ivan SUNJIC,8,6,2,0,0,0,0,3,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,9,Samed BAZDAR,3,0,0,0,1,1,1,0,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,8,Armin GIGOVIC,12,7,4,0,1,0,0,6,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,25,Jovo LUKIC,9,0,3,0,4,2,0,2,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,20,Esmir BAJRAKTAREVIC,23,1,6,1,0,9,6,7,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,18,Nikola KATIC,2,1,0,0,0,0,1,2,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,15,Amar MEMIC,10,0,0,1,0,8,1,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,13,Ivan BASIC,9,8,1,0,0,0,0,4,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,10,Ermedin DEMIROVIC,11,1,2,1,1,5,1,0,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,7,Amar DEDIC,1,0,1,0,0,0,0,0,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,6,Benjamin TAHIROVIC,21,10,8,0,2,0,1,10,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,5,Sead KOLASINAC,6,4,0,1,0,1,0,5,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,4,Tarik MUHAREMOVIC,1,0,0,0,0,0,1,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,1,Nikola VASILJ,3,0,0,0,0,0,3,3,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,24,Promise DAVID,4,1,1,1,0,1,0,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,21,Jonathan OSORIO,2,0,0,0,0,0,2,2,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,20,Ali AHMED,17,1,4,0,1,5,6,7,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,14,Jacob SHAFFELBURG,18,2,1,0,0,9,6,5,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,9,Cyle LARIN,8,0,0,0,2,5,1,0,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,22,Richie LARYEA,33,2,3,1,3,17,7,9,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,17,Tajon BUCHANAN,18,2,2,0,1,10,3,4,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,13,Derek CORNELIUS,1,0,0,0,0,0,1,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,12,Tani OLUWASEYI,48,2,12,0,0,34,0,8,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,11,Liam MILLAR,31,2,1,0,1,17,10,10,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,10,Jonathan DAVID,21,0,5,3,2,10,1,5,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,8,Ismael KONE,27,14,7,1,1,1,3,7,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,7,Stephen EUSTAQUIO,35,6,11,0,3,9,6,12,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,4,Luc DE FOUGEROLLES,10,0,0,0,0,3,7,5,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Canada,2,Alistair JOHNSTON,19,4,4,0,1,0,10,9,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,17,Dzenis BURNIC,2,1,0,0,0,0,1,1,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
Bosnia and Herzegovina,19,Kerim ALAJBEGOVIC,5,0,0,1,0,1,3,2,3,B,12 June 2026,Canada,Bosnia and Herzegovina,1,1
